#汉字	同音同调	同音异调
一	壹漪	以义移易
毯	袒坦	贪檀碳炭叹探谭潭弹瘫痰坛昙谈滩摊
氏	拭势室使柿侍饰脂誓只恃示织式蜘事之释适嗜枝肢逝是市士支世吱试汁芝视知识	址植提匙施治屎致时制驶拾直窒掷狮实征诗什食帜石执十稚史志射尸智挚失硕值止纸趾职虱至蚀秩置矢滞殖指质旨始师湿
民		敏皿闽悯
氓	芒盲茫忙	莽
气	泣器迄弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
氛	纷吩分芬	粉愤粪奋份忿焚坟
氢	倾卿顷轻清蜻青	亲庆情擎请晴
氧	痒养仰	阳羊鸯杨样扬秧殃央洋漾
氨	安鞍庵	按案暗岸俺
氮	诞弹石担蛋旦但淡	单胆耽丹
氯	露录鹿滤律陆绿虑路率赂碌	侣卢履屡炉旅娄卤芦驴颅鲁铝吕缕庐虏
水		谁睡说税蜕
永	泳蛹踊拥咏勇	庸用佣
汁	只氏芝枝肢知织蜘支之吱脂	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
求	仇球囚	蚯丘龟秋
汇	诲惠讳贿绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
汉	旱焊悍翰撼憾捍汗	罕韩喊寒和函涵含酣
汗	韩旱悍汉寒函翰撼涵憾捍焊含	罕和酣喊
汛	逊讯训驯迅殉	巡寻旬勋询循
汞	共拱矿巩	弓公攻工哄烘贡轰供红虹宫宏蚣躬鸿恭洪功
江	将浆姜僵疆缰	桨酱蒋强匠讲奖降
池	匙驰迟持弛	翅斥赤吃尺嗤齿耻侈
污	于巫诬屋乌呜恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
汤	伤商	上躺尚趟唐糖棠膛晌淌赏堂烫裳倘搪塘
汪		往旺网妄忘枉王亡望
汰	态泰太	台抬胎苔
汹	凶匈胸兄	雄熊
汽	泣器迄气弃砌契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
沃	握卧	窝涡我
沈	审婶	甚呻神慎信肾申绅渗深参身伸
沈	臣晨审婶沉尘陈辰忱	称伸甚呻慎趁信肾绅申渗衬深参身神
沉	沈臣晨尘陈辰忱	趁称衬
沐	幕募木慕暮目牧墓穆睦	亩姥姆母拇模牡
沙	砂煞杉纱杀	霎厦傻
沛	配佩	陪培赔坏胚
沟	勾钩句	苟垢购狗构够
没	默漠媒磨墨脉霉莫枚沫梅陌茉眉煤末膜楣玫寞	美么每昧蘑摩抹魔摸媚摹模妹
沥	立吏砾雳丽痢隶粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
沦	仑轮抡伦论
沧	仓苍舱	藏
沪	户护互	壶许呼狐戏唬乎胡葫虎忽糊蝴弧湖
沫	默漠磨墨脉末莫膜陌寞茉没	么蘑摩魔抹摸摹模
沮	拘蛆居车俱驹矩举锯	鞠聚巨剧距橘具拒惧炬句局据菊足
河	合核盖和荷何禾盒褐	鹤喝吓呵贺赫
沸	废吠费肺	啡肥菲非诽飞匪
油	尤由犹游邮	佑忧幽悠友又诱有幼优右
治	智挚知致滞帜质识稚至制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
沼	找爪	昭赵罩招嘲召朝兆着照
沽	估辜家咕姑孤	固股凸贾古雇鼓顾告滑故骨谷
沾	毡瞻占	栈暂盏战站蘸崭绽颤斩展
沿	谚咽炎淹焰艳颜延雁验堰癌厌砚唁严阎宴研燕盐言	演奄殷衍烟眼掩
泉	卷拳权犬痊全	劝圈券
泊	渤搏勃伯卜薄破脖膊舶白柏朴博魄驳荸迫	剖剥跛簸颇播拨波般婆坡玻菠泼
泌	庇毙臂毕弊币必避辟密壁碧璧蜜闭觅秘比蔽鄙	咪逼靡弥彼鼻匕米迷谜笔糜
法	阀乏伐发罚筏
泛	饭犯贩范	樊返矾繁烦帆番凡翻反
泞		拧狞能凝柠宁
泡	炮	跑袍咆刨抛
波	泼坡	泊剖朴魄颇破婆迫
泣	器迄气弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
泥	尼呢逆溺匿腻	你拟
注	助住柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
泪	累类擂	垒儡勒蕾雷
泰	态汰太	台抬胎苔
泳	蛹踊拥咏勇永	庸用佣
泵	刘流榴硫留瘤琉	铆陆溜柳六馏
泻	骇屉谢屑蟹卸契楔解懈械	鞋写挟协些携谐歇斜邪血胁
泼	波坡	泊剖朴魄颇破婆迫
泽	窄择贼则责	怎侧
洁	节杰竭截捷劫结	接揭皆阶届街界介姊借解诫戒姐芥
洋	杨扬阳羊	鸯养样痒秧殃氧仰央漾
洒	撒	萨飒
洗	徙喜	悉熙厘习畦惜锡戏媳隙牺西希膝息栖吸携晰熄析席夕行系袭昔犀稀溪嬉蟋细
洛	烙落酪络骆	箩萝锣骡裸螺罗逻
洞	栋动冻	懂董东冬
津	金斤巾禁浸今筋襟	进尽锦紧劲仅谨近晋
洪	虹鸿红宏	汞轰哄烘
洲	周州舟粥	昼肘咒皱帚轴宙
活		豁或和获伙货火祸霍惑
洼	挖蛙	娃瓦袜
洽	恰狭匣挟暇峡侠霞斜辖	虾瞎下卡夏吓厦
派	湃	排牌徘拍
流	刘榴硫留瘤泵琉	铆陆溜柳六馏
浅	遣谴	千前钱钳歉干嵌迁欠潜牵纤黔签铅谦
浆	将姜江僵疆缰	桨酱蒋强匠讲奖降
浇	交椒蕉胶焦骄礁教娇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
浊	卓茁灼拙着啄琢酌	桌捉
测	策册侧厕
济	纪际妓给荠祭脊记季剂几系既计鲫继技忌挤寄己冀骑	叽稽籍即吃棘唧借急嫉迹基集级寂及饥箕奇积畸吉讥激绩辑居机击圾肌其鸡期极疾
浑	魂混	昏荤婚
浓	农脓	弄
浙	这宅蔗	遮摘折哲着者辙
浦	圃普谱	菩瀑仆扑葡朴铺暴蒲脯
浩	镐号耗好	鹤壕毫嚎蒿豪
浪		琅朗廊狼郎榔
浮	俘	孵傅
浴	域裕玉愈尉育誉寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
海		骇咳害孩还亥
浸	津金进尽斤劲仅巾禁今近筋晋襟	紧锦谨
涂	凸徒图突屠途	土吐兔秃
消	嚣哮削宵硝箫销萧	孝晓肖校小笑酵效学啸
涉	社赦射舍叶拾摄设	甚舌什奢蛇赊
涎	嫌衔弦舷闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
涕	惕屉剃替	剔梯提体啼蹄堤题踢
涛	滔萄逃淘陶桃掏	讨套
涡	窝	沃握我卧
涣	唤换幻痪宦焕患	缓环欢还
涤	笛的嘀嫡敌芽	弟抵蒂低递帝滴底第地缔
润	闰
涧	践建溅鉴渐健荐监件键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
涨	丈掌长帐胀杖仗账障	章张彰樟
涩	塞瑟色圾
涮		栓拴
涯	牙蚜衙押芽	压鸭鸦轧雅呀讶亚哑
液	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
涵	韩寒函汗含	罕旱悍喊和翰撼憾捍焊汉酣
淀	店垫殿甸玷佃奠电惦	颠典点碘
淆	侥摇遥肴谣窑姚	么耀夭哟舀腰药乐咬吆要拗钥邀妖
淋	临鳞琳邻林磷	凛赁吝躏
淌	躺倘	堂趟唐糖烫棠膛汤搪塘
淑	赎熟叔	树梳黍术鼠薯曙述蜀束署书抒暑疏殊枢输属数竖庶蔬恕墅漱舒
淘	萄逃陶桃涛	套掏讨滔
淡	弹石氮担蛋旦但诞	单胆耽丹
淤	迂	屿于愈愉榆浴狱渔娱与豫舆隅遇语羽谷喻域逾裕雨予玉尉育誉鱼寓欲愚御郁预吁芋宇
淫	吟银	印瘾隐引听饮因殷蚓茵音姻阴
淮	怀徊槐	坏
深	伸信绅申参身呻	沈甚审慎婶肾渗神
淳	醇唇纯	春蠢
混	浑魂	昏荤婚
淹	谚咽焰艳奄雁验烟沿堰厌唁砚宴殷研燕	严炎演颜阎延衍癌盐言眼掩
添	天	舔恬填甜田
清	氢倾卿顷轻蜻青	亲庆情擎请晴
渊	宛冤鸳	远源猿辕原愿怨援缘园元袁院员圆
渐	践尖建鉴溅歼健荐监坚涧件键兼艰舰奸煎间贱剑肩见箭	柬拣捡茧检简俭剪碱减
渔	逾愉娱鱼榆舆隅愚	屿愈浴淤狱豫遇羽语谷喻域裕予雨尉育誉寓欲御迂郁预吁芋宇
渗	肾慎甚	沈伸呻审婶信申绅深参身神
渠		曲圈屈蛆去漆趋躯取岖娶驱趣区
渡	肚杜度镀妒	牍堵督毒都读睹独赌
渣	眨扎喳查	诈栅炸乍闸
渤	泊舶搏勃白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
温	瘟	免紊问吻蚊文闻纹稳
港	岗	扛纲冈缸肛钢刚
渴	坷可	咳磕苛科客课蝌棵刻壳颗克
游	尤由犹邮油	佑忧幽悠友又诱有幼优右
渺	秒藐	庙描妙瞄苗
湃	派	排牌徘拍
湖	壶狐胡葫糊蝴弧	许呼沪互戏唬户乎护虎忽
湘	相箱乡镶厢香	像橡项想祥向巷详享响翔象降
湾	豌弯	玩顽万腕碗宛娩丸完惋婉晚挽
湿	狮失施诗虱师尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
溃	诲惠讳贿汇绘愧晦慧会秽	恢虫葵傀茴堕窥回挥魁辉毁徽悔灰盔亏蛔
溅	践尖建鉴歼健渐荐监坚涧件键兼艰舰奸煎间贱剑肩见箭	柬拣捡茧检简俭剪碱减
溉	丐概盖钙	该改
源	猿辕原援园缘元袁员圆	远宛渊愿怨冤鸳院
溜	馏陆六	刘铆流榴硫留瘤柳泵琉
溢	腋邑逸艺肄掖亦意抑义疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
溪	悉膝熙戚厘畦漆栖吸携晰欺柒析妻七行西牺犀凄稀嬉希蟋	泣迄稽习惜脐锡只徙鳍气戏奇砌媳隙喜契企祈骑枝启旗息洗起歧熄席系夕器乞棋袭弃昔汽齐其崎岂期细
溯	缩肃宿粟塑诉素速	酥苏俗
溶	荣绒茸蓉榕熔容融	冗
溺	泥腻匿逆	你拟尼呢
滋	资姿咨吱	自字紫仔籽子滓
滑	豁骨华股凸古划桦鼓贾猾谷哗	估沽辜化花话家画雇咕告顾姑孤故固
滓	仔子籽紫	资滋自字姿吱咨
滔	掏涛	萄逃淘陶讨套桃
滚		棍
滞	智挚知致治帜质识稚至制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
满		蛮曼瞒幔慢漫馒蔓
滤	氯律绿虑率	侣履屡旅娄驴缕铝吕
滥	缆烂	拦览蓝懒澜榄篮揽栏兰
滨	缤宾彬濒	鬓
滩	贪瘫探摊	弹檀毯痰坛碳叹昙炭谈袒谭坦潭
滴	低	抵嘀蒂嫡帝芽缔笛的弟递底第涤敌地
漂	飘票	瓢
漆	戚去栖凄溪娶欺趣柒妻七	泣迄蛆稽畦取驱脐只鳍气奇砌契岖企祈骑曲枝屈启旗起歧区圈器乞棋弃趋躯汽齐其崎岂期渠
漏	露陋	篓搂楼娄
漓	离犁厘黎篱狸梨丽璃	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
演	眼掩衍	谚咽炎淹焰艳颜奄延雁烟验沿堰癌厌砚唁严阎殷宴研燕盐言
漠	默磨墨脉末沫莫膜陌寞茉没	么蘑摩魔抹摸摹模
漩	炫玄悬旋县	喧宣轩选
漪	揖衣医伊一依壹	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
漫	蛮曼瞒幔慢馒蔓	满
漱	树疏术数述竖庶束署曙恕墅	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
漾	样养	阳羊鸯杨扬痒秧殃氧仰央洋
潘	攀	胖叛判般盘畔盼
潜	干黔前钱钳	嵌浅千迁欠牵纤签谴铅谦遣歉
潦	聊撩疗缭辽寥燎僚嘹	了料
潭	弹檀痰坛昙谈谭	贪瘫毯碳叹炭探滩袒坦摊
潮	朝嘲巢	吵抄钞超炒剿
澄	呈成惩程城诚承乘盛橙	称秤撑逞
澈	撤辙彻	车扯
澎	棚膨砰硼鹏篷烹蓬朋彭	捧碰
澜	拦蓝篮栏兰	览懒榄缆烂揽滥
澡	蚤藻早枣	皂躁造糟灶噪遭燥凿
澳	懊傲奥拗	袄熬凹
激	绩叽稽居唧机几迹基饥箕奇肌其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
濒	缤彬贫宾频滨	鬓拼品聘
瀑	暴铺	脯菩仆葡朴浦谱蒲圃普扑
灌	观惯冠贯罐	馆管官棺关
火	伙	豁或和获货活祸霍惑
灭	蔑
灯	登	凳等瞪邓蹬
灰	恢堕挥辉徽	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
灵	凌菱玲伶蛉铃陵龄翎零	岭另领令
灶	皂躁造噪燥	蚤糟早枣遭藻凿澡
灸	九酒久韭纠玖	就舅揪鸠臼旧救疚究
灼	卓浊茁拙着啄琢酌	桌捉
灾	栽	仔宰在再载
灿		惨惭残餐蚕参
炉	芦卢庐颅	露录鹿氯卤陆路鲁虏赂碌
炊	吹	椎垂捶锤
炎	颜阎延沿研癌盐言严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
炒	吵	嘲潮抄朝钞超巢剿
炕	抗	糠慷扛康
炫	旋漩	喧选轩玄悬宣还县
炬	聚巨剧距具拒俱惧句锯据足	拘鞠蛆沮居车橘驹矩举局菊
炭	碳探叹	贪檀毯袒谭坦潭弹瘫痰坛昙谈滩摊
炮	刨咆泡袍	跑抛
炸	栅诈乍扎闸	眨渣喳查
点	碘典	店垫殿甸玷佃淀奠颠电惦
炼	恋敛练链	帘怜连脸镰莲联廉
烁	蟀硕帅数率勺	说
烂	缆滥	拦览蓝懒澜榄篮揽栏兰
烈	列劣猎裂	咧
烘	轰哄	虹宏汞鸿洪红
烙	劳洛落酪络骆	箩萝锣骡牢裸姥老螺罗捞唠逻
烛	术筑轴竹逐	助朱贮煮住注猪主珠柱蛛祝属铸拄蛀诸嘱驻株
烟	淹咽奄殷燕厌	炎艳焰延雁癌砚衍盐言掩谚颜验沿堰眼唁演阎宴研严
烤	考拷	铐靠
烦	樊帆繁凡矾	返范犯泛番饭翻反贩
烧	稍梢捎	芍少勺绍召哨
烫	趟	淌躺堂唐糖棠膛倘汤搪塘
热		惹若
烹	澎砰	棚膨碰硼鹏捧篷蓬朋彭
焊	旱悍翰撼憾捍汗汉	罕韩喊寒和函涵含酣
焕	唤换幻痪宦涣患	缓环欢还
焙	臂背贝被辈狈惫备倍	卑悲杯北碑
焚	坟	粉愤芬粪奋分份忿吩纷氛
焦	交椒蕉娇胶礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
焰	谚咽淹艳宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
然	燃	染
煌	黄皇凰惶蝗	恍谎荒慌晃幌
煎	坚兼尖艰溅歼渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
煞	霎沙砂杉纱厦杀	傻
煤	媒霉枚梅楣玫眉没	美每昧媚妹
照	兆赵罩召	昭嘲找招爪朝着沼
煮	贮嘱主属拄	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
熄	习袭息媳昔惜席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
熊	雄	匈凶胸汹兄
熔	溶荣绒茸蓉榕容融	冗
熙	悉膝厘畦栖吸携晰析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
熟	淑赎叔	售术鼠曙束署书暑属守兽庶手恕漱舒树收梳黍首薯述瘦蜀受寿抒疏殊枢输数竖授蔬墅
熬		澳袄懊拗傲奥凹
燃	然	染
燎	撩聊料疗了缭辽寥潦僚嘹
燕	谚咽淹焰艳奄雁验烟沿堰厌唁砚宴殷研	严炎演颜阎延衍癌盐言眼掩
燥	皂躁造灶噪	蚤糟早枣遭藻凿澡
爆	暴刨豹抱报	褒堡饱包薄雹苞保宝胞
爪	沼找	昭赵罩招嘲抓召朝兆着照
爬	耙扒	趴帕怕
爱	碍艾隘	哀蔼挨哎埃矮唉
爵	掘倔决觉角诀绝脚嚼
父	妇赴傅咐腹抚俯府辅付附脯赋富复斧负甫腐副	芙敷辐蝠浮福幅服缚俘肤孵符袱扶麸伏拂夫
爷	椰	页咽野夜业叶也冶射谒
爸	霸伯罢耙坝	八靶巴跋扒捌把笆芭拔疤吧叭
爹		碟谍跌蝶叠
爽		双霜
片	遍骗	偏便篇翩扁
版	板	拌扮半伴班扳搬颁绊办瓣般斑
牌	排徘	拍湃派
牍	毒独读	肚渡堵督杜都睹度镀妒赌
牙	蚜涯衙押芽	压鸭鸦轧雅呀讶亚哑
牛		钮纽扭拗
牡	亩姥姆母拇	幕募木慕暮沐目牧墓穆模睦
牢	劳唠	烙姥老酪捞络
牧	幕募木慕暮沐目墓穆睦	亩姥姆母拇模牡
物	勿务晤雾误坞悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
牲	生升胜笙甥声	乘绳剩圣盛省
牵	嵌千迁纤签铅谦	干浅潜欠黔谴前钱钳遣歉
牺	悉膝熙厘畦栖吸携晰析行西犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
犀	悉膝熙厘畦栖吸携晰析行西牺稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
犁	离厘黎篱狸梨漓丽璃	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
犬	泉卷拳权痊全	劝圈券
犯	饭贩泛范	樊返矾繁烦帆番凡翻反
状	壮撞	妆装庄桩
犹	尤由游邮油	佑忧幽悠友又诱有幼优右
狂		框筐旷眶况矿
狈	臂背贝被辈焙惫备倍	卑悲杯北碑
狐	壶胡葫糊蝴弧湖	许呼沪互戏唬户乎护虎忽
狗	苟	勾钩沟垢购构句够
狞	拧凝柠宁	泞
狠	很	痕恨
狡	侥较搅矫绞饺角剿脚缴	交椒轿叫觉蕉娇胶焦窖礁教校骄浇郊嚼
独	牍毒读	肚渡堵督杜都睹度镀妒赌
狭	匣洽挟暇峡侠霞斜辖	虾厦瞎下吓夏
狮	失施诗虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
狰	丁正征筝怔症睁挣蒸争	政整郑证拯
狱	域裕玉愈尉育誉浴寓欲芋御郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
狸	离犁厘黎篱漓梨丽璃	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
狼	琅郎榔廊	浪朗
猎	列劣烈裂	咧
猖	倡昌	场唱长偿厂畅常尝肠裳敞
猛	锰	蒙萌梦孟檬朦盟
猜		菜财采材踩才裁彩睬
猩	腥星兴	邢行型刑形醒性姓杏幸省
猪	朱蛛珠诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
猫		贸冒毛茅矛锚貌帽茂
献	现馅陷腺线限县宪	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
猴	侯喉	候吼厚后
猾	豁划桦滑华哗	化花话画
猿	源辕原援缘园元袁员圆	远宛渊愿怨冤鸳院
玄	漩悬旋还县	喧选炫轩宣
率	蟀硕帅氯滤律烁绿虑数勺	侣甩履屡旅娄衰说驴缕铝吕摔
玉	域裕尉愈育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂愉榆鱼娱舆隅愚羽淤宇
王	旺忘妄亡望	往汪网枉
玖	九酒久韭灸纠	就舅揪鸠臼旧救疚究
玛	码蚂吗马	么蟆麻妈骂
玩	顽万腕丸完惋	娩碗宛豌湾婉晚弯挽
玫	媒煤霉枚梅楣眉没	美每昧媚妹
环	还	唤缓换幻痪宦焕涣欢患
现	馅陷腺线限献县宪	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
玲	凌灵菱伶蛉铃陵龄翎零	岭另领令
玷	店垫殿甸淀佃奠电惦	颠典点碘
玻	剥播拨般菠	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
珊	衫山杉删扇	闪陕善单赡擅膳
珍	诊侦榛斟针贞真	阵振枕震疹镇
珠	朱蛛猪诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
班	扳搬颁般斑	拌扮半伴板版绊办瓣
球	求仇囚	蚯丘龟秋
琅	狼郎榔廊	浪朗
理	李礼哩里鲤	立吏犁厘黎狸梨砾雳丽痢璃隶沥离粒励厉力荔历莉篱漓例俐利栗
琉	刘流榴硫留瘤泵	铆陆溜柳六馏
琐	锁索所	缩唆嗦梭
琢	卓浊茁灼拙着啄酌	桌捉
琳	临淋鳞邻林磷	凛赁吝躏
琴	勤擒秦禽芹	侵亲钦寝
琼	穷
瑞	锐	蕊
瑟	塞色圾涩
瑰	傀归规龟闺	跪鬼诡桂柜贵轨
璃	离犁厘黎篱狸梨漓丽	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
璧	庇毙臂毕弊币必避辟泌壁碧闭比蔽鄙	逼彼鼻匕笔
瓜	蜗括刮	卦挂寡褂
瓢		漂飘票
瓣	拌扮半伴绊办	班板扳搬颁版般斑
瓤	攘	让壤嚷
瓦		袜洼蛙娃挖
瓶	苹萍平评屏坪冯凭	乒
瓷	词雌祠辞慈磁	厕刺此伺差赐次
甘	干肝竿杆柑	感赶敢秆橄
甚	舌什慎肾蛇渗神	婶拾涉奢赦射身呻信绅舍叶赊摄参设社沈审申深伸
甜	填恬田	添天舔
生	牲升胜笙甥身声	乘绳剩圣盛省
甥	生牲升胜笙声	乘绳剩圣盛省
用	佣	泳蛹踊拥咏勇庸永
甩		蟀帅率摔衰
甫	腐斧父抚俯府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
田	填恬甜	添天舔
由	尤犹游邮油	佑忧幽悠友又诱有幼优右
甲	钾贾夏假	佳荚加挟价家茄稼颊嫁夹架嘉驾
申	伸信绅深参身呻	沈甚审慎婶肾渗神
电	店垫殿甸玷淀佃奠惦	颠典点碘
男	难南
甸	店垫殿玷淀佃奠电惦	颠典点碘
画	化划桦话华	豁花滑猾哗
畅	唱倡	场长昌偿厂常尝肠裳敞猖
界	届介借解诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
畏	为卫谓位尉喂伪胃未味遗慰蔚魏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
畔	叛判盼	胖潘攀般盘
留	刘流榴硫瘤泵琉	铆陆溜柳六馏
畜	矗叙绪触恤酗处序絮旭婿蓄续	许锄储徐初吁需楚橱除虚础厨雏出须
略	掠
畦	悉熙厘脐只鳍奇西牺希祈骑膝枝旗栖吸携晰歧析行棋犀齐其稀嬉溪蟋崎期	泣迄戚习漆稽惜妻七锡徙气戏砌媳隙喜契凄企启息洗欺起柒熄席夕系器乞袭弃昔汽岂细
番	翻帆	樊反返范犯烦繁饭凡泛矾贩
畴	稠绸筹愁仇酬	臭抽丑
畸	激绩叽稽居唧机几迹基饥箕奇肌其积鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
疆	将浆姜江僵缰	桨酱蒋强匠讲奖降
疏	树梳术曙述束署书抒殊枢输数竖庶蔬恕墅漱舒	暑黍鼠薯叔属蜀淑赎熟
疑	夷宜蛇遗仪一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
疗	聊撩缭辽寥潦燎僚嘹	了料
疙	搁戈割胳哥鸽歌	阁合格革隔葛蛤各个
疚	就舅臼救旧究	九酒久揪鸠韭灸纠玖
疟	虐
疤	八巴扒捌笆芭吧叭	爸靶霸把伯耙罢拔跋坝
疫	腋邑逸艺肄掖亦意抑义溢役异易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
疮	窗囱创	抢幢闯床撞
疯	丰峰风封枫锋讽蜂	奉凤缝逢冯
疲	皮脾罢啤	屁否匹霹批坏被譬僻劈披辟
疹	诊枕	阵振震侦珍斟榛针贞镇真
疼	誊腾
疾	辑即籍吃棘脊唧借急嫉击级集寂及圾吉极	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
病	并	饼柄禀冰兵秉屏丙
症	丁正征筝怔狰睁挣蒸争	政整郑证拯
症	政正郑证挣	丁征整睁拯狰筝怔蒸争
痊	泉卷拳权犬全	劝圈券
痒	养氧仰	阳羊鸯杨样扬秧殃央洋漾
痕		很恨狠
痘	斗豆读逗	都陡兜蚪抖
痛		统彤桐同铜桶筒童通瞳
痢	立吏砾雳丽隶沥粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
痪	唤换幻宦焕涣患	缓环欢还
痰	弹檀坛昙谈谭潭	贪瘫毯碳叹炭探滩袒坦摊
瘟	温	免紊问吻蚊文闻纹稳
瘤	刘流榴硫留泵琉	铆陆溜柳六馏
瘦	售兽授受寿	收首守手熟
瘩	搭答达	大打
瘪		别鳖
瘫	贪探摊滩	弹檀毯痰坛碳叹昙炭谈袒谭坦潭
瘸		怯鹊却确缺雀壳
瘾	隐引听饮蚓	印吟淫银因殷茵音姻阴
癌	炎颜阎延沿研盐言严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
癞	赖	莱来
癣	险显铣鲜	仙嫌馅衔弦先腺线涎舷闲贤县咸现掀陷纤限献宪
登	灯	凳等瞪邓蹬
白	泊舶渤搏勃柏伯博卜脖薄驳膊荸	败剥跛簸百玻播拨摆般拜菠
百	摆	白拜败
皂	躁造灶噪燥	蚤糟早枣遭藻凿澡
的	笛弟嘀蒂得递嫡帝第涤敌芽地缔	抵德低滴底
皆	接揭阶街结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
皇	黄煌凰惶蝗	恍谎荒慌晃幌
皮	脾疲罢啤	屁否匹霹批坏被譬僻劈披辟
皱	咒昼宙	肘舟周州粥洲轴帚
皿	敏闽悯	民
盅	中忠衷终钟	种肿众重仲
盆		喷
盈	荧营迎蝇赢萤莹	影莺鹦婴英应映缨樱景颖硬鹰
